"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,IDIQ for Roofing,Regionwide,REGIONWIDE,238160,Other Than Small,Firm Fixed Price,Negotiated,Full and Open,1000,20000000,,N/A,,New Requirement,GSA funded,2016-04-10,,FY 2016-3rd Quarter,Zach Rich,zachary.rich@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",Planning Multiple awards
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Corrective Measure Work Plan for Investigation Area 04F,Lakewood,CO,541620,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Fair Opportunity,0,750000,543017.06,N/A,GS-10F-0462M / GS-P-08-16-JA-7076,New Requirement,GSA funded-PBS,2015-09-02,,FY 2016-2nd Quarter,Beverly Carey,beverly.carey@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Third-Party Oversight associated with Downing Reservoir,Lakewood,CO,541620,Woman-Owned Small Business,Firm Fixed Price,BPA Call,Fair Opportunity,0,185000,184688.9,N/A,GS-10F-0298N / GS-08-P-15-JE-A-7001 / GS-P--08-16-JA-7000,New Requirement,GSA funded-PBS,2015-09-15,,FY 2016-1st Quarter,Beverly Carey,beverly.carey@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Hansen Building Consolidation,Ogden,UT,541310,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Fair Opportunity,0,1000000,,N/A,,New Requirement,GSA funded-PBS,2016-01-07,,FY 2016-3rd Quarter,Kenya Freeman,beverly.carey@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,DFC Tree Removal and Planting,Lakewood,CO,561730,To Be Determined,Firm Fixed Price,Order under GSA Federal Supply Schedules Program,Competitive Schedule Buy,25000,500000,,TBD,TBD,New Requirement,GSA funded,2015-06-01,,FY 2016-4th Quarter,Cindy Andersen,cindy.andersen@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Road Maintenance - Asphalt - DFC,Lakewood,CO,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Order under IDV,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",250000,500000,,Rocky Mountain Execvating (RME),,New Requirement,GSA funded,2015-06-01,,FY 2016-4th Quarter,David Berry,david.berry@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Concrete Maintenance - DFC,Lakewood,CO,238120,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Order under IDV,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",250000,500000,,Rocky Mountain Execvating (RME),,New Requirement,GSA funded,2015-06-01,,FY 2016-4th Quarter,David Berry,david.berry@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,B67 Training Room Design,Lakewood,CO,541310,To Be Determined,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,0,25000,,TBD,TBD,New Requirement,Non-GSA funded,2015-10-01,,FY 2016-1st Quarter,David Berry,david.berry@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Forest Service Server Room Air Conditioning,Ogden,UT,238220,Small Business,Firm Fixed Price,Contract,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",25000,100000,29097.19,N/a,GS-P-08-16-JC-C-7001,New Requirement,Non-GSA funded,2015-08-04,,FY 2016-1st Quarter,Dylan White,dylan.white@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Award Pending,Security Management System Upgrades,Orem,UT,238210,Small Business,Firm Fixed Price,Contract,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",25000,150000,,N/a,,New Requirement,Non-GSA funded,2015-08-18,,FY 2016-1st Quarter,Dylan White,dylan.white@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Evaluation Stage,Probation Wall Repairs,Salt Lake City,UT,236220,Small Business,Firm Fixed Price,Contract,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",0,25000,,N/a,N/a,New Requirement,Non-GSA funded,2015-09-08,,FY 2016-1st Quarter,Dylan White,dylan.white@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Award Pending,Carpet & Paint Construction,Salt Lake City,UT,236220,Woman-Owned Small Business,Firm Fixed Price,Contract,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",25000,150000,,N/a,N/a,New Requirement,Non-GSA funded,2015-08-24,,FY 2016-1st Quarter,Dylan White,dylan.white@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Moss BAS Controls Conversion,Salt Lake City,UT,238220,To Be Determined,Firm Fixed Price,Contract,To Be Determined,100000,300000,,,,New Requirement,GSA funded,2016-01-15,,FY 2016-2nd Quarter,Jeffrey Rich,jeffrey.rich@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Fan Coil Replacement,Salt Lake City,UT,238220,To Be Determined,Firm Fixed Price,Contract,To Be Determined,100000,250000,,,,New Requirement,GSA funded,2016-04-15,,FY 2016-3rd Quarter,Jeffrey Rich,jeffrey.rich@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,St. George A/C Unit Replacement,St. George,UT,238220,To Be Determined,Firm Fixed Price,GSA Schedule Contract,To Be Determined,50000,150000,,,,New Requirement,GSA funded,2016-04-01,,FY 2016-3rd Quarter,Jeffrey Rich,jeffrey.rich@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Forest Service Wall Build,Ogden,UT,236220,Small Business,Firm Fixed Price,Contract,Competed under SAP,5000,20000,,,,New Requirement,GSA funded,2016-03-01,,FY 2016-2nd Quarter,Jeffrey Rich,jeffrey.rich@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,NOAA ROC Room Expansion,Salt Lake City,UT,236220,Small Business,Firm Fixed Price,Government-wide Agency Contract-GWAC,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",50000,100000,,,,New Requirement,Non-GSA funded,2016-03-01,,FY 2016-3rd Quarter,Jeffrey Rich,jeffrey.rich@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Bennett Air Pressure Repair,Salt Lake City,UT,238220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,35000,50000,,,,New Requirement,GSA funded,2016-04-01,,FY 2016-3rd Quarter,Jeffrey Rich,jeffrey.rich@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Moss Coil Repair and Pneumatic Controls Conversion to DDC,Salt Lake City,UT,238220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,350000,700000,,,,New Requirement,GSA funded,2016-04-01,,FY 2016-3rd Quarter,Jeffrey Rich,jeffrey.rich@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,RD Remodel,Casper,WY,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Purchase Order,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",25000,100000,65567,,GS-08-P-16-VP-P-7000,New Requirement,Non-GSA funded,2015-09-24,,FY 2016-1st Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov","$65,567.00 to 8a Contractor"
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,VA Remodel,Cheyenne,WY,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Purchase Order,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",25000,100000,28289.29,,GS-08-P-16-VP-P-7002,New Requirement,Non-GSA funded,2015-09-09,,FY 2016-1st Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov","$28,289.29 to 8a Contractor"
PBS-Public Buildings Service,R8-Rocky Mountain Region,Award Pending,Court Renovation,Cheyenne,WY,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",100000,250000,,,,New Requirement,Non-GSA funded,2015-10-08,,FY 2016-1st Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,USDC Core Drilling,Cheyenne,WY,236220,To Be Determined,Firm Fixed Price,Purchase Order,To Be Determined,0,25000,,,,New Requirement,Non-GSA funded,2015-11-15,,FY 2016-3rd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Award Pending,SBA/HUD Co-location Renovation,Casper,WY,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",250000,500000,,,,New Requirement,Non-GSA funded,2015-10-20,,FY 2016-2nd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Award Pending,SBA Move,Casper,WY,484210,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Purchase Order,"Not Competed under SAP (e.g., Urgent, Sole source, Logical Follow-On, 8a, HUBZone & SDVOSB sole source, all < SAT)",0,10000,,,,New Requirement,Non-GSA funded,2015-10-20,,FY 2016-2nd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,Probation Ceiling,Cheyenne,WY,236220,To Be Determined,Firm Fixed Price,Purchase Order,To Be Determined,100000,250000,,,,New Requirement,Non-GSA funded,2015-12-15,,FY 2016-2nd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Drafting Solicitation,Probation Data Lines,Cheyenne,WY,236220,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,0,25000,,,,New Requirement,Non-GSA funded,2015-12-15,,FY 2016-2nd Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,O&M for Wyoming,Casper & Cheyenne,WY,561210,HUBZone Small Business,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",0,650000,,"CNV Service Company, LLC",GS-08P-12-JC-C-0006,Option,GSA funded,2016-09-01,,FY 2016-4th Quarter,Jennifer Canfield,jennifer.canfield@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,DOS Bldg 17 A&E services--BMS system replacement,Lakewood,CO,541330,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Order under IDV,Fair Opportunity,350000,450000,194000,,GS-P-08-16-JF-7001,New Requirement,Non-GSA funded,2015-10-09,N/A,FY 2016-1st Quarter,Joan Amend,joan.amend@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Custodial Services,Pierre,SD,561720,AbilityOne,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",0,1000000,,OAHE Inc,GS-08P-11-VL-C-0024,Option,GSA funded,2016-01-01,,FY 2016-1st Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,Custodial Services,Rapid City,SD,561720,AbilityOne,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",0,1000000,,BH Services,GS-08P-12-VL-C-0005,Option,GSA funded,2016-07-01,,FY 2016-3rd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,Custodial Services,Aberdeen,SD,561720,AbilityOne,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",0,1000000,,Aspire Inc,GS-08P-13-VL-C-0020,Option,GSA funded,2016-10-01,,FY 2016-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,Custodial Services,Huron,SD,561720,AbilityOne,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",0,1000000,,HACI Inc,GS-08P-13-VL-C-0021,Option,GSA funded,2016-10-01,,FY 2016-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Option Exercise Pending,Custodial Services,Sioux Falls,SD,561720,AbilityOne,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",0,1000000,,South Dakota Achieve,GS-08P-13-VL-C-0022,Option,GSA funded,2016-11-01,,FY 2016-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Electrical Work for Systems Furniture,Huron,SD,238210,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,0,25000,24694,,GS-08-P-16-VL-P-7001,New Requirement,Non-GSA funded,2015-10-02,,FY 2016-1st Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Construct New Conference Room,Rapid City,SD,236220,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,0,25000,21060.86,,GS-08-P-16-VL-P-7004,New Requirement,Non-GSA funded,2015-10-09,,FY 2016-1st Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Carpet and Paint,Huron,SD,238330,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,25000,150000,41053.27,,GS-08-P-16-VL-P-7002,New Requirement,Non-GSA funded,2015-10-15,,FY 2016-1st Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Remodel Office Area and Construct 2 offices,Aberdeen,SD,236220,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,25000,150000,53521,,GS-08-P-16-VL-P-7003,New Requirement,Non-GSA funded,2015-10-15,,FY 2016-1st Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Snow Removal Service,Aberdeen,SD,561790,Other Than Small,Time and Materials,Purchase Order,Competed under SAP,0,25000,,N/A,,New Requirement,GSA funded,2016-07-15,,FY 2016-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Snow Removal Service,Huron,SD,561790,Other Than Small,Time and Materials,Purchase Order,Competed under SAP,25000,150000,,N/A,,New Requirement,GSA funded,2016-07-15,,FY 2016-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Snow Removal Service,Pierre,SD,561790,Other Than Small,Time and Materials,Purchase Order,Competed under SAP,0,25000,,N/A,,New Requirement,GSA funded,2016-07-15,,FY 2016-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Snow Removal Service,Sioux Falls,SD,561790,Small Business,Time and Materials,Purchase Order,Competed under SAP,0,25000,,N/A,,New Requirement,GSA funded,2016-07-15,,FY 2016-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Snow Removal Service,Rapid City,SD,561790,Small Business,Time and Materials,Purchase Order,Competed under SAP,0,25000,,N/A,,New Requirement,GSA funded,2016-07-15,,FY 2016-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Closed,Reinforce and attach TV mounting bracket to the wall in 10 BIA offices,Aberdeen,SD,236220,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,0,25000,,N/A,,New Requirement,Non-GSA funded,2016-07-15,,FY 2016-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Planning,Data cabling,Sioux Falls,SD,238210,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,0,25000,,N/A,,New Requirement,Non-GSA funded,2016-07-15,,FY 2016-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Drafting Solicitation,Data cabling,Pierre,SD,238210,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,0,25000,,N/A,,New Requirement,Non-GSA funded,2016-01-15,,FY 2016-2nd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Data Cabling & Outlet Instal,Pierre,SD,238210,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,0,25000,9083,N/A,GS-08-P-16-VL-P-7006,New Requirement,Non-GSA funded,2016-07-15,,FY 2016-4th Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Solicitation Issued,Replace AC,Pierre,SD,238220,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,0,25000,,N/A,,New Requirement,Non-GSA funded,2015-12-01,,FY 2016-2nd Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
PBS-Public Buildings Service,R8-Rocky Mountain Region,Awarded,Paint Room 305,Sioux Falls,SD,238320,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,0,25000,7600.5,N/A,GS-08-P-16-VL-P-7005,New Requirement,Non-GSA funded,2015-11-01,,FY 2016-1st Quarter,Kristen Feickert,kristen.feickert@gsa.gov,"Amy Lara, 816-926-7172, amy.lara@gsa.gov",
